"PctKids2Par","PctIlleg","PctFam2Par","racePctWhite","PctYoungKids2Par","PctTeen2Par","racepctblack","pctWInvInc","pctWPubAsst","FemalePctDiv","state","communityname","ViolentCrimesPerPop","community","county","countyname","commentary","Latitude","Longitude","Latitude_scaled","Longitude_scaled"
0.69,0.11,0.62,0.54,0.87,0.53,0.06,0.61,0.15,0.61,6,"SouthPasadena",0.14,73220,37,"LosAngeles","",34.116119,-118.15035,0.17942897458738,0.69651800187759
0.43,0.5,0.45,0.46,0.34,0.34,0.03,0.23,0.97,0.59,6,"Selma",0.55,70882,19,"Fresno","",36.570783,-119.612075,0.477815255740498,0.527207631288002
0.56,0.3,0.62,0.07,0.68,0.62,0.15,0.47,0.4,0.46,6,"DalyCity",0.24,17918,81,"SanMateo","",37.687925,-122.470208,0.613613819983896,0.196152502981153
0.68,0.1,0.66,0.85,0.87,0.59,0.01,0.55,0.14,0.68,6,"DanaPoint",0.21,17946,59,"Orange","",33.466972,-117.698108,0.100519372600427,0.748900810282848
0.61,0.22,0.6,0.71,0.64,0.61,0.05,0.37,0.64,0.68,6,"Modesto",0.34,48354,99,"Stanislaus","",37.639097,-120.996878,0.607678341508575,0.366807070906555
0.46,0.43,0.54,0,0.42,0.6,0.05,0.14,0.92,0.36,6,"Delano",0.31,18394,29,"Kern","",35.768842,-119.247053,0.380332181603177,0.569487820853997
0.47,0.49,0.47,0,0.61,0.46,0.46,0.36,0.38,0.65,6,"Gardena",0.84,28168,37,"LosAngeles","",33.88835,-118.308961,0.151741623132369,0.678146223882698
0.82,0.07,0.79,0.6,0.92,0.74,0.06,0.72,0.08,0.54,6,"FosterCity",0.08,25338,81,"SanMateo","",37.558547,-122.271078,0.597886771278644,0.219217562479694
0.77,0.11,0.78,0.74,0.83,0.7,0.06,0.53,0.22,0.41,6,"LaVerne",0.11,40830,37,"LosAngeles","",34.100842,-117.767836,0.177571919113728,0.740824275010844
0.7,0.17,0.68,0.85,0.83,0.58,0.02,0.64,0.18,0.63,6,"Carlsbad",0.22,11194,73,"SanDiego","",33.158092,-117.350594,0.0629722563667697,0.789153063015114
